countryRegionName,IncomeDecile,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
England,10,12522,12785,13277,14058,14504,13884,13512,14735,14456,14438,16384
England,50,24515,25345,26329,27377,27701,28510,29214,31090,31751,32596,34569
England,90,52727,54544,55735,56915,57057,59903,62049,63883,64037,67117,69677
North East,10,10849,11817,12601,13124,12989,13596,14641,13804,12825,12819,16209
North East,50,21588,22445,23079,23127,23193,25698,26890,28237,27363,28369,30434
North East,90,44008,44424,44424,46158,47194,47770,51235,52648,50538,53468,54535
North West,10,12256,12518,12618,13101,13116,12589,11767,13491,13980,12952,15942
North West,50,23016,23537,23584,25135,25024,25975,27161,28222,30449,29857,31684
North West,90,46954,47347,47860,50802,51284,51674,54041,56450,57207,59029,61173
Yorkshire and The Humber,10,11701,11928,12840,13389,14061,12434,12401,13349,12702,13559,15904
Yorkshire and The Humber,50,22378,22983,23974,24409,24748,26513,26319,27797,28864,30115,31113
Yorkshire and The Humber,90,45354,45594,45981,47083,50958,50898,51613,54822,54075,57244,63264
East Midlands,10,12372,13053,13070,13379,14058,14126,12703,13963,15578,15539,16206
East Midlands,50,23448,24223,25085,26006,26468,26975,26878,29893,31744,31517,33070
East Midlands,90,45941,46641,46513,48844,48844,51262,57282,54983,59214,57862,61523
West Midlands,10,11812,11791,11602,12162,12931,12917,12688,14038,13839,14410,12430
West Midlands,50,23408,24067,23917,24703,24545,25474,26005,27469,29292,30356,30794
West Midlands,90,45997,48541,48895,48964,48061,52888,54539,53369,53644,58311,57754
East of England,10,13337,13495,14033,14554,14771,14866,14746,15739,15583,15883,18168
East of England,50,25699,27059,28752,28721,28534,30294,30368,34675,33393,34234,37953
East of England,90,55517,57266,60270,56588,56898,63300,65953,70393,65435,73329,70167
London,10,12422,12416,14031,15548,16366,13610,13610,15436,12533,13605,15257
London,50,24757,26237,29229,30192,30276,32369,32344,35689,35229,36810,37632
London,90,69833,73134,74363,72637,69484,78877,78693,81133,83543,92025,89901
South East,10,14126,14527,15302,15883,16295,15884,15771,16819,17490,15797,18438
South East,50,28413,29627,31248,31981,32850,31759,34161,35783,35905,36395,40323
South East,90,59280,60719,65867,67287,70396,66589,71292,72899,71169,72164,77817
South West,10,13443,13689,14014,14645,14838,14893,14905,15551,15660,15664,18982
South West,50,24437,25215,25933,27783,27917,28477,28640,30760,31672,32042,35620
South West,90,48914,51960,50286,53615,53664,54643,55865,55501,57036,62107,63660
Wales,10,11927,12462,13097,13285,13316,12910,12275,14476,14556,15079,18256
Wales,50,21989,23201,23878,25036,25430,25924,25650,28994,29356,29004,35254
Wales,90,42635,44344,47007,47581,47602,50330,51726,54791,55292,55290,65416
Scotland,10,12278,12512,13413,12809,13037,12959,13201,14793,14512,14552,15003
Scotland,50,24636,24883,26072,26941,27251,26586,29130,28435,30262,32194,33128
Scotland,90,47924,50452,51786,53058,52526,52628,52569,57044,57347,62564,62048
Northern Ireland,10,11715,11328,11861,12578,12997,13371,10183,12393,16787,15269,17183
Northern Ireland,50,21517,21539,22386,23401,24542,23341,23342,25259,27746,29587,32329
Northern Ireland,90,39024,40610,41653,42111,43298,41882,45949,47317,48711,54367,56793
